author;title;subtitle;title_without_sub;edition;genre;date;location;publishing-house;pages;genre-by-librarian;title_id
Hanstein, Otfrid von (1869-1959);Wettkonzern Lange : Zeitroman;Zeitroman;Wettkonzern Lange : Zeitroman;;;1922;dresden;verlag deutsche buchwerkstätten;;;423
Johannes, Martin Otto (1887-);Stehauf : deutscher Zeitroman;deutscher Zeitroman;Stehauf : deutscher Zeitroman;;;1935;"braunschweig ; berlin ; hamburg";westermann;;;424
Karrasch, Alfred (1893-1973);Parteigenosse Schmiedecke : ein Zeitroman;ein Zeitroman;Parteigenosse Schmiedecke : ein Zeitroman;41.-60. Tsd.;;1934;berlin;zeitgeschichte;;;425
Mülleneisen, Jak;Gelehrtenproletariat : ein Zeitroman;ein Zeitroman;Gelehrtenproletariat : ein Zeitroman;;;1912;leipzig;hoffmann;;;426
Reimann, Hans (1889-1969);Die Dinte wider das Blut : ein Zeitroman;ein Zeitroman;Die Dinte wider das Blut : ein Zeitroman;39., wildgewordene u. vermasselte Aufl., 640.- 683. Tsd.;;1921;"hannover ; leipzig";steegemann;;;427
Ring, Max (1817-1901);Fürst und Musiker : Zeitroman;Zeitroman;Fürst und Musiker : Zeitroman;;;1882;new york;munro;;;428
Samarow, Gregor (1829-1903);Um Szepter und Kronen : Zeitroman. - 2,1. Europäische Minen und Gegenminen  : erster Band;erster Band;Um Szepter und Kronen : Zeitroman. - 2,1. Europäische Minen und Gegenminen  : erster Band;;;1873;;;;;430
Schupp, Johannes Martin (1883-1947);Morisan : ein Zeitroman;ein Zeitroman;Morisan : ein Zeitroman;;;1931;berlin;loesdau;;;432
Worms, Karl;Du bist mein : ein Zeitroman in 2 Büchern;ein Zeitroman in 2 Büchern;Du bist mein : ein Zeitroman in 2 Büchern;;;1899;stuttgart;cotta;;;433
Wothe, Anny (1858-1919);Die den Weg bereiten : ein Zeitroman;ein Zeitroman;Die den Weg bereiten : ein Zeitroman;;;1916;hamburg;enoch;;;434
Goedsche, Hermann Ottomar Friedrich (1816-1878);Des Cäsars Ende : Zeit-Roman;Zeit-Roman;Des Cäsars Ende : Zeit-Roman;[Mikrofiche-Ausg.];;;berlin;janke;;;435
Samarow, Gregor (1829-1903);Des Cäsars Ende : Zeit-Roman - Der Todesgruss der Legionen;;Des Cäsars Ende : Zeit-Roman - Der Todesgruss der Legionen;;;;;;;;436
Samarow, Gregor (1829-1903);Gipfel und Abgrund : Zeitroman;Zeitroman;Gipfel und Abgrund : Zeitroman;[Mikrofiche-Ausg.];;;stuttgart [u.a.];dt. verl.-anst.;;;437
Samarow, Gregor (1829-1903);Um Szepter und Kronen : Zeitroman;Zeitroman;Um Szepter und Kronen : Zeitroman;[Mikrofiche-Ausg.];;;stuttgart;hallberger;;;438
Schöfer, Erasmus (1931-);Die Kinder des Sisyfos : Zeitroman;Zeitroman;Die Kinder des Sisyfos : Zeitroman;;;;köln;dittrich;;;439
Bierbaum, Otto Julius (1865-1910);"Prinz Kuckuck : Leben, Taten, Meinungen und Höllenfahrt eines Wollüstlings ; in einem Zeitroman";"Leben, Taten, Meinungen und Höllenfahrt eines Wollüstlings ; in einem Zeitroman";"Prinz Kuckuck : Leben, Taten, Meinungen und Höllenfahrt eines Wollüstlings ; in einem Zeitroman";;;;"münchen ; leipzig";müller;;;441
Bierbaum, Otto Julius (1865-1910);Prinz Kuckuck : Leben, Taten, Meinungen und Höllenfahrt eines Wollüstlings, in einem Zeitroman;Leben, Taten, Meinungen und Höllenfahrt eines Wollüstlings, in einem Zeitroman;Prinz Kuckuck : Leben, Taten, Meinungen und Höllenfahrt eines Wollüstlings, in einem Zeitroman;Wohlfeile Ausg.;;;"münchen ; berlin";müller;;;442
